,Gothenburg,Denver,Baltimore,Guadalajara,London,Mexico,Bristol,Cleveland,Eindhoven,Moscow,Charlotte,Lyon,Savannah,Bratislava,Chicago,Geneva,Tallinn,NewYork,Dallas,SouthBend,Boston,Vilnius,Columbus,SaltLakeCity,Phoenix,Tampa,Secaucus,Panama,Groningen,Lausanne,Halifax,Montreal,Palermo,Paris,Seattle,Dronten,ColoradoSprings,Monticello,Asheville,Thessaloniki,SanAntonio,Redding,LaCeiba,
Gothenburg,0.0,156.41,115.032,173.82,54.868,161.052,43.822,127.011,29.958,25.091,122.093,55.216,148.016,43.071,129.634,38.955,25.58,116.435,140.458,137.011,110.701,43.247,130.684,155.522,166.174,133.668,115.483,201.85,32.19,47.115,122.688,109.874,82.964,43.556,186.808,37.648,159.024,147.773,128.621,74.404,140.893,187.36,104.415,
Denver,156.41,0.0,49.554,45.691,119.804,45.281,112.001,29.317,117.613,160.998,47.239,138.664,57.085,144.29,26.38,126.545,135.475,45.197,25.251,28.133,47.44,151.264,37.986,63.106,28.995,47.443,38.362,99.662,120.277,128.285,51.105,38.598,161.807,117.11,32.643,126.965,2.016,29.781,49.982,176.141,29.598,65.032,46.297,
Baltimore,115.032,49.554,0.0,51.492,76.681,58.502,79.846,33.88,82.565,122.844,11.084,99.478,36.374,101.047,28.82,92.012,106.881,8.501,33.847,23.601,13.905,128.085,20.765,59.247,57.581,32.211,9.064,73.389,98.887,95.067,24.254,13.925,132.948,84.012,67.97,81.808,45.105,27.787,14.779,138.42,36.593,81.504,13.324,
Guadalajara,173.82,45.691,51.492,0.0,135.52,60.547,129.977,71.134,134.397,179.983,41.452,147.571,60.402,149.744,50.861,138.827,196.192,54.564,29.464,52.558,59.903,167.306,60.129,69.275,39.584,44.628,54.457,95.278,138.08,142.038,89.689,61.658,181.284,128.745,75.036,137.824,45.126,53.205,42.841,185.955,33.896,74.286,56.237,
London,54.868,119.804,76.681,135.52,0.0,134.12,3.771,90.418,7.583,44.812,92.484,20.706,111.964,25.171,85.73,16.447,33.799,70.839,110.2,83.926,75.117,35.826,84.431,118.634,125.702,102.595,70.726,149.183,8.517,25.903,87.948,83.965,49.802,8.321,131.284,6.471,108.079,92.42,90.285,60.301,109.605,157.29,72.558,
Mexico,161.052,45.281,58.502,60.547,134.12,0.0,136.602,53.074,132.671,180.708,64.05,147.711,64.265,159.712,51.418,147.423,164.342,64.205,25.376,51.519,70.674,170.8,60.533,91.845,71.672,53.806,67.455,98.721,142.056,147.303,82.444,69.314,173.086,135.228,63.551,135.544,45.494,64.891,60.542,195.898,40.912,75.76,64.762,
Bristol,43.822,112.001,79.846,129.977,3.771,136.602,0.0,96.726,12.447,52.401,87.709,25.08,107.573,30.524,88.998,19.94,39.598,71.089,109.774,85.857,80.68,39.79,93.192,119.57,128.855,102.874,69.773,147.948,13.237,23.494,89.481,82.584,50.052,11.555,143.192,12.769,109.949,97.551,90.369,65.329,106.495,143.235,74.582,
Cleveland,127.011,29.317,33.88,71.134,90.418,53.074,96.726,0.0,99.552,147.26,40.231,110.247,50.405,131.206,21.77,115.079,126.744,31.068,33.511,19.078,29.313,135.816,28.084,63.123,72.203,40.472,27.635,84.334,104.745,114.876,44.206,36.838,148.204,102.362,50.311,100.375,44.072,38.158,47.696,142.418,46.465,79.963,28.991,
Eindhoven,29.958,117.613,82.565,134.397,7.583,132.671,12.447,99.552,0.0,41.816,92.95,31.742,114.467,22.313,95.31,17.63,29.449,80.43,112.572,100.905,81.501,31.71,99.853,137.968,131.179,107.219,80.77,164.154,7.349,17.507,93.967,87.215,41.117,15.129,141.729,4.438,120.847,103.329,95.882,57.384,119.684,168.086,80.015,
Moscow,25.091,160.998,122.844,179.983,44.812,180.708,52.401,147.26,41.816,0.0,138.608,59.749,153.536,56.229,135.901,42.681,22.466,117.366,153.094,138.624,122.698,23.236,138.726,158.156,172.847,147.341,113.762,185.579,42.795,54.777,145.197,132.213,68.98,49.516,183.29,51.859,155.047,139.425,137.442,89.419,158.561,191.794,112.922,
